price,area,location
Giá:10 Tỷ,Diện tích:50 m²,Vị trí:Thanh Xuân - Hà Nội
Giá:2.9 Tỷ,Diện tích:82 m²,Vị trí:Nam Từ Liêm - Hà Nội
Giá:6 Tỷ,Diện tích:50 m²,Vị trí:Đống Đa - Hà Nội
Giá:5 Tỷ,Diện tích:30 m²,Vị trí:Đống Đa - Hà Nội
Giá:5.5 Tỷ,Diện tích:42 m²,Vị trí:Long Biên - Hà Nội
Giá:6.4 Tỷ,Diện tích:42 m²,Vị trí:Đống Đa - Hà Nội
Giá:Thỏa thuận,Diện tích:970 m²,Vị trí:Phúc Thọ - Hà Nội
Giá:7.99 Tỷ,Diện tích:60 m²,Vị trí:Tây Hồ - Hà Nội
Giá:11.2 Tỷ,Diện tích:52 m²,Vị trí:Cầu Giấy - Hà Nội
Giá:1.2 Triệu/m²,Diện tích:29300 m²,Vị trí:Ba Vì - Hà Nội
Giá:Thỏa thuận,Diện tích:900 m²,Vị trí:Phúc Thọ - Hà Nội
Giá:1.36 Tỷ,Diện tích:698 m²,Vị trí:Nam Từ Liêm - Hà Nội
Giá:12.1 Tỷ,Diện tích:55 m²,Vị trí:Đống Đa - Hà Nội
Giá:25 Triệu/m²,Diện tích:136 m²,Vị trí:Thạch Thất - Hà Nội
Giá:14 Tỷ,Diện tích:41 m²,Vị trí:Tây Hồ - Hà Nội
Giá:138 Triệu/m²,Diện tích:266.8 m²,Vị trí:Hoàng Mai - Hà Nội
Giá:80 Tỷ,Diện tích:175 m²,Vị trí:Hoàn Kiếm - Hà Nội
Giá:Thỏa thuận,Diện tích:88.6 m²,Vị trí:Mê Linh - Hà Nội
Giá:9.8 Tỷ,Diện tích:146 m²,Vị trí:Tây Hồ - Hà Nội
Giá:2.2 Tỷ,Diện tích:110 m²,Vị trí:Hà Đông - Hà Nội
